index,Lo,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,time
140,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:07:13.000000000
141,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:07:41.800000000
142,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:08:10.600000000
143,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:08:39.400000000
144,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:09:08.200000000
145,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:09:37.000000000
146,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:10:05.800000000
147,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:10:34.600000000
148,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:11:03.400000000
149,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:11:32.200000000
150,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:12:01.000000000
151,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:12:29.800000000
152,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:12:58.600000000
153,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:13:27.400000000
154,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:13:56.200000000
155,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:14:25.000000000
156,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:14:53.800000000
157,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:15:22.600000000
158,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:15:51.400000000
159,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:16:20.200000000
160,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:16:49.000000000
161,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:17:17.800000000
162,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:17:46.600000000
163,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:18:15.400000000
164,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:18:44.200000000
165,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:19:13.000000000
166,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:19:41.800000000
167,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:20:10.600000000
168,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:20:39.400000000
169,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:21:08.200000000
170,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:21:37.000000000
171,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:22:05.800000000
172,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:22:34.600000000
173,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:23:03.400000000
174,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:23:32.200000000
175,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:24:01.000000000
176,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:24:29.800000000
177,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:24:58.600000000
178,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:25:27.400000000
179,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:25:56.200000000
180,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:26:25.000000000
181,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:26:53.800000000
182,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:27:22.600000000
183,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:27:51.400000000
184,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:28:20.200000000
185,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:28:49.000000000
186,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:29:17.800000000
187,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:29:46.600000000
188,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:30:15.400000000
189,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:30:44.200000000
190,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:31:13.000000000
191,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:31:41.800000000
192,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:32:10.600000000
193,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:32:39.400000000
194,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:33:08.200000000
195,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:33:37.000000000
196,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:34:05.800000000
197,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:34:34.600000000
198,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:35:03.400000000
199,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:35:32.200000000
200,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:36:01.000000000
201,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:36:29.800000000
202,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:36:58.600000000
203,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:37:27.400000000
204,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:37:56.200000000
205,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:38:25.000000000
206,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:38:53.800000000
207,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:39:22.600000000
208,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:39:51.400000000
209,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:40:20.200000000
210,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:40:49.000000000
211,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:41:17.800000000
212,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:41:46.600000000
213,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:42:15.400000000
214,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:42:44.200000000
215,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:43:13.000000000
216,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:43:41.800000000
217,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:44:10.600000000
218,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:44:39.400000000
